# +1
0	+0	+0	+14.7064	499	+28.1537	+286.950	+312.616	+344.095
1	+1	+0	+17.7045	9	+0.800000	+3.49865	+8.41047	+7.17127
2	+1	+0	+17.6997	16	+0.782019	+12.0108	+15.5725	+8.04432
3	+1	+0	+17.7333	9	+0.800000	+6.70647	+8.80528	+3.90904

# +2
0	+0	+0	+14.7064	499	+28.1537	+286.950	+312.616	+344.095
1	+0	+0	+13.5379	499	+3.88839	+3.49865	+8.41047	+7.17127
2	+0	+0	+16.2102	499	+2.59418	+12.0108	+15.5725	+8.04432
3	+0	+0	+15.6117	499	+3.03660	+6.70647	+8.80528	+3.90904

# +3
0	+0	+0	+14.7064	499	+28.1537	+286.950	+312.616	+344.095
1	+0	+0	+13.5379	499	+3.88839	+3.49865	+8.41047	+7.17127
2	+0	+0	+15.1057	499	+42.7207	+12.0108	+15.5725	+8.04432
3	+0	+0	+14.2051	499	+7.33744	+6.70647	+8.80528	+3.90904

# +4
0	+0	+0	+12.2167	499	+5.35588	+286.950	+312.616	+344.095
1	+0	+0	+14.7064	499	+28.1537	+3.49865	+8.41047	+7.17127
2	+0	+0	+14.7348	499	+28.3771	+12.0108	+15.5725	+8.04432
3	+0	+0	+13.5379	499	+3.88839	+6.70647	+8.80528	+3.90904

